"cep" "long" "lat"
80001970 -49.31743 -25.42354
80002900 -49.31743 -25.42354
80010000 -49.26767 -25.43557
80010010 -49.26767 -25.43557
80010020 -49.26793 -25.43296
80010030 -49.27437 -25.43626
80010040 -49.27733 -25.43348
80010050 -49.27377 -25.43372
80010060 -49.27623 -25.43394
80010070 -49.27449 -25.43437
80010080 -49.2673 -25.43429
80010090 -49.26767 -25.43557
80010100 -49.26767 -25.43557
80010110 -49.26767 -25.43557
80010120 -49.27367 -25.42947
80010130 -49.22865 -25.52503
80010140 -49.26767 -25.43557
80010150 -49.27041 -25.43178
80010160 -49.26794 -25.43655
80010180 -49.26767 -25.43557
80010190 -49.26618 -25.43383
80010200 -49.26575 -25.43211
80010210 -49.26467 -25.43322
80010904 -49.26767 -25.43557
80010906 -49.26767 -25.43557
80010909 -49.26767 -25.43557
80010914 -49.26767 -25.43557
80010915 -49.26767 -25.43557
80010970 -49.26767 -25.43557
80010980 -49.26767 -25.43557
80010981 -49.26767 -25.43557
80011970 -49.26935 -25.43166
80012970 -49.31743 -25.42354
80020000 -49.27147 -25.42828
80020010 -49.27147 -25.42828
80020020 -49.27367 -25.43202
80020040 -49.27147 -25.42828
80020050 -49.27186 -25.4302
80020060 -49.27412 -25.43101
80020080 -49.27223 -25.43254
80020090 -49.27147 -25.42828
80020100 -49.27186 -25.4302
80020110 -49.27312 -25.42861
80020120 -49.2721 -25.42827
80020130 -49.27147 -25.42828
80020140 -49.27147 -25.42828
80020160 -49.27107 -25.42851
80020170 -49.27238 -25.4277
80020180 -49.27074 -25.42704
80020190 -49.26937 -25.42837
80020200 -49.27103 -25.42831
80020210 -49.27006 -25.42914
80020220 -49.2698 -25.4295
80020230 -49.26925 -25.42938
80020240 -49.26751 -25.42864
80020250 -49.26947 -25.42726
80020260 -49.26884 -25.42436
80020270 -49.2685 -25.42743
80020280 -49.26631 -25.42694
80020290 -49.2685 -25.42743
80020300 -49.26751 -25.42864
80020310 -49.27147 -25.42828
80020320 -49.25959 -25.42729
80020900 -49.27147 -25.42828
80020901 -49.27147 -25.42828
80020903 -49.27147 -25.42828
80020910 -49.27147 -25.42828
80020914 -49.27147 -25.42828
80020915 -49.27147 -25.42828
80020918 -49.27147 -25.42828
80020920 -49.27147 -25.42828
80020926 -49.27147 -25.42828
80020927 -49.27147 -25.42828
80020930 -49.27147 -25.42828
80020933 -49.27147 -25.42828
80020937 -49.27147 -25.42828
80030000 -49.26133 -25.42
80030001 -49.25921 -25.41386
80030010 -49.26779 -25.42363
80030030 -49.26839 -25.42224
80030050 -49.26779 -25.42175
80030060 -49.26779 -25.42175
80030070 -49.26549 -25.41915
80030090 -49.26639 -25.42224
80030100 -49.26522 -25.42316
80030110 -49.2625 -25.42205
80030130 -49.26425 -25.42127
80030140 -49.26386 -25.42059
80030150 -49.26446 -25.41952
80030152 -49.26133 -25.42
80030170 -49.26133 -25.42
80030180 -49.26383 -25.41871
80030182 -49.26133 -25.42
80030190 -49.26563 -25.41733
80030200 -49.26218 -25.41826
80030210 -49.26154 -25.41949
80030220 -49.26091 -25.42086
80030230 -49.2618 -25.41525
80030240 -49.26193 -25.41681
80030250 -49.25865 -25.4209
80030260 -49.25803 -25.4197
80030270 -49.25505 -25.41694
80030280 -49.25768 -25.41847
80030290 -49.25937 -25.41871
80030300 -49.25746 -25.41844
80030310 -49.25862 -25.41699
80030320 -49.26118 -25.41897
80030330 -49.26039 -25.41634
80030340 -49.24378 -25.4178
80030360 -49.2611 -25.41578
80030370 -49.25828 -25.41622
80030380 -49.25828 -25.41622
80030390 -49.25999 -25.41328
80030400 -49.25638 -25.41595
80030410 -49.2616 -25.41134
80030420 -49.25721 -25.4137
80030430 -49.25585 -25.41471
80030440 -49.25677 -25.41242
80030460 -49.25592 -25.41093
80030470 -49.25305 -25.41322
80030475 -49.25743 -25.41196
80030530 -49.26133 -25.42
80030900 -49.26133 -25.42
80035000 -49.2512 -25.40194
80035010 -49.25376 -25.41204
80035020 -49.25653 -25.40782
80035030 -49.25322 -25.40882
80035040 -49.253 -25.40744
80035050 -49.25143 -25.40689
80035060 -49.24807 -25.40961
80035070 -49.24723 -25.41059
80035080 -49.24724 -25.40901
80035090 -49.25274 -25.40369
80035110 -49.25155 -25.41047
80035120 -49.25143 -25.40689
80035130 -49.2512 -25.40194
80035140 -49.2535 -25.4045
80035160 -49.25606 -25.40665
80035170 -49.25229 -25.40474
80035180 -49.25109 -25.40343
80035190 -49.2512 -25.40194
80035200 -49.20446 -25.38907
80035210 -49.24911 -25.40284
80035220 -49.24929 -25.40148
80035230 -49.25254 -25.39928
80035232 -49.25254 -25.39928
80035235 -49.25528 -25.39983
80035240 -49.25034 -25.39958
80035250 -49.25311 -25.40127
80035260 -49.25718 -25.40093
80035270 -49.2555 -25.40238
80035280 -49.2512 -25.40194
80035290 -49.24807 -25.40961
80035320 -49.2512 -25.40194
80035330 -49.25355 -25.40702
80040070 -49.25379 -25.42834
80040080 -49.24613 -25.41492
80040100 -49.2538 -25.41572
80040110 -49.25541 -25.42958
80040120 -49.25645 -25.4295
80040130 -49.24954 -25.42122
80040132 -49.25252 -25.42687
80040134 -49.24613 -25.41492
80040140 -49.24819 -25.42001
80040150 -49.25057 -25.41983
80040160 -49.25062 -25.43115
80040170 -49.24898 -25.42782
80040180 -49.24613 -25.41492
80040250 -49.24426 -25.42247
80040252 -49.24613 -25.41492
80040260 -49.24171 -25.42051
80040280 -49.24807 -25.4187
80040310 -49.25025 -25.41724
80040320 -49.24528 -25.41639
80040330 -49.24517 -25.41514
80040340 -49.24769 -25.41492
80040350 -49.24494 -25.4126
80040352 -49.24481 -25.41133
80040380 -49.24896 -25.41686
80040400 -49.24613 -25.41492
80040445 -49.25252 -25.42687
80040450 -49.2454 -25.41765
80040452 -49.24464 -25.42638
80040460 -49.24334 -25.41784
80045000 -49.24613 -25.4296
80045010 -49.25425 -25.43227
80045030 -49.24613 -25.4296
80045050 -49.24613 -25.4296
80045060 -49.25554 -25.43074
80045070 -49.25645 -25.4295
80045080 -49.25629 -25.42813
80045090 -49.24613 -25.4296
80045100 -49.25806 -25.42925
80045105 -49.25561 -25.42213
80045110 -49.25394 -25.41693
80045115 -49.25277 -25.41966
80045120 -49.24613 -25.4296
80045125 -49.24613 -25.4296
80045130 -49.25493 -25.42553
80045135 -49.25476 -25.42387
80045140 -49.24613 -25.4296
80045145 -49.25769 -25.42471
80045150 -49.24613 -25.4296
80045155 -49.25769 -25.42471
80045165 -49.25609 -25.42656
80045175 -49.25328 -25.424
80045180 -49.24613 -25.4296
80045185 -49.24613 -25.4296
80045190 -49.25299 -25.43096
80045200 -49.24613 -25.4296
80045210 -49.24613 -25.4296
80045215 -49.25048 -25.43001
80045230 -49.25035 -25.42864
80045235 -49.24613 -25.4296
80045260 -49.24691 -25.4201
80045265 -49.24613 -25.4296
80045270 -49.24613 -25.4296
80045275 -49.25005 -25.42594
80045280 -49.24986 -25.42427
80045285 -49.2512 -25.42417
80045290 -49.2508 -25.4242
80045300 -49.25021 -25.42706
80045305 -49.24613 -25.4296
80045315 -49.24613 -25.4296
80045320 -49.24613 -25.4296
80045325 -49.24528 -25.42467
80045335 -49.24545 -25.42631
80045340 -49.24613 -25.4296
80045345 -49.25657 -25.43209
80045355 -49.24514 -25.42312
80045375 -49.24613 -25.4296
80045380 -49.24656 -25.42896
80045385 -49.24613 -25.4296
80045390 -49.24639 -25.42738
80045395 -49.24378 -25.4178
80045400 -49.24613 -25.4296
80050150 -49.24626 -25.43224
80050152 -49.24515 -25.43161
80050180 -49.24577 -25.43229
80050190 -49.2466 -25.43221
80050205 -49.24821 -25.4328
80050210 -49.25333 -25.43365
80050240 -49.25753 -25.43708
80050250 -49.25753 -25.43708
80050260 -49.24933 -25.41861
80050270 -49.25753 -25.43708
80050290 -49.24815 -25.43207
80050300 -49.25753 -25.43708
80050310 -49.24665 -25.43035
80050315 -49.27199 -25.43974
80050320 -49.25753 -25.43708
80050330 -49.24387 -25.43056
80050350 -49.24212 -25.43533
80050360 -49.24424 -25.43537
80050370 -49.2482 -25.43591
80050380 -49.2418 -25.43525
80050390 -49.2421 -25.43365
80050400 -49.24312 -25.43452
80050420 -49.2421 -25.43365
80050430 -49.24163 -25.43192
80050435 -49.24387 -25.43056
80050440 -49.24172 -25.43278
80050450 -49.2395 -25.43423
80050460 -49.23995 -25.43321
80050470 -49.24105 -25.4365
80050480 -49.23777 -25.43523
80050490 -49.23828 -25.4369
80050510 -49.23631 -25.43738
80050520 -49.23593 -25.43946
80050530 -49.23768 -25.43949
80050550 -49.23494 -25.43809
80050560 -49.23424 -25.44054
80050570 -49.23593 -25.43946
80050580 -49.23494 -25.43809
80050605 -49.25048 -25.43117
80050900 -49.25753 -25.43708
80060000 -49.26133 -25.42979
80060010 -49.26133 -25.42979
80060020 -49.26131 -25.42915
80060030 -49.26077 -25.43017
80060040 -49.26213 -25.43146
80060050 -49.26016 -25.43134
80060060 -49.26298 -25.4346
80060070 -49.25922 -25.4349
80060080 -49.26133 -25.42979
80060090 -49.26133 -25.42979
80060100 -49.26133 -25.42979
80060110 -49.26266 -25.43239
80060120 -49.26213 -25.43146
80060130 -49.26101 -25.43169
80060140 -49.26131 -25.42915
80060150 -49.26085 -25.4278
80060160 -49.25734 -25.43238
80060170 -49.25959 -25.42729
80060180 -49.26133 -25.42979
80060195 -49.26133 -25.42979
80060205 -49.2639 -25.42724
80060210 -49.26501 -25.42687
80060230 -49.26291 -25.42604
80060240 -49.26336 -25.42166
80060270 -49.25786 -25.4223
80060272 -49.24971 -25.42272
80060900 -49.26133 -25.42979
80060901 -49.26133 -25.42979
80060902 -49.26133 -25.42979
80060903 -49.26133 -25.42979
80060904 -49.26133 -25.42979
80060907 -49.26133 -25.42979
80063980 -49.31743 -25.42354
80210000 -49.24613 -25.44427
80210030 -49.25269 -25.43845
80210040 -49.249 -25.43784
80210050 -49.2524 -25.4399
80210060 -49.24743 -25.43877
80210070 -49.248 -25.43998
80210080 -49.25009 -25.43827
80210090 -49.24986 -25.44235
80210100 -49.24784 -25.44309
80210110 -49.24555 -25.44387
80210120 -49.24543 -25.44474
80210130 -49.2485 -25.44468
80210131 -49.24114 -25.45044
80210132 -49.24047 -25.45005
80210134 -49.24114 -25.45044
80210136 -49.24179 -25.4508
80210150 -49.24813 -25.44382
80210160 -49.24986 -25.44235
80210170 -49.23737 -25.44412
80210190 -49.24375 -25.44323
